Date,Sales,Revenue,AvgOrder,List_Of_Items
2023-12-31,15,1104.92,73.66,"Smartwatch, Monitor"
2024-01-01,4,316.04,79.01,"Camera, Laptop, Smartphone"
2024-01-02,13,1115.56,85.81,"Laptop, Smartwatch"
2024-01-03,11,564.89,51.35,"Headphones, Camera"
2024-01-04,12,1038.84,86.57,"Smartwatch, Printer"
2024-01-05,5,441.74,88.35,"Printer, Tablet, Smartwatch"
2024-01-06,7,353.42,50.49,"Smartwatch, Printer"
2024-01-07,5,327.07,65.41,"Tablet, Laptop, Headphones"
2024-01-08,16,986.29,61.64,"Smartphone, Laptop"
2024-01-09,4,300.69,75.17,"Laptop, Smartphone"
2024-01-10,13,1269.92,97.69,"Tablet, Headphones"
2024-01-11,5,389.45,77.89,"Camera, Printer, Tablet"
2024-01-12,9,493.86,54.87,"Printer, Monitor"
2024-01-13,15,1216.26,81.08,"Headphones, Tablet, Camera"
2024-01-14,16,1490.42,93.15,"Camera, Headphones"
2024-01-15,4,231.53,57.88,"Headphones, Camera, Smartphone"
2024-01-16,16,1593.94,99.62,"Monitor, Tablet"
2024-01-17,14,759.5,54.25,"Smartwatch, Smartphone, Tablet"
2024-01-18,17,930.29,54.72,"Printer, Camera, Tablet"
2024-01-19,18,1470.25,81.68,"Smartwatch, Camera"
2024-01-20,6,584.79,97.46,"Laptop, Printer"
2024-01-21,10,968.37,96.84,"Laptop, Smartphone, Printer"
2024-01-22,4,289.48,72.37,"Smartwatch, Camera"
2024-01-23,1,86.38,86.38,"Smartphone, Printer"
2024-01-24,6,522.67,87.11,"Printer, Laptop, Smartphone"
2024-01-25,1,65.35,65.35,"Headphones, Smartwatch"
2024-01-26,18,1007.79,55.99,"Smartphone, Smartwatch, Tablet"
2024-01-27,19,1371.68,72.19,"Camera, Headphones"
2024-01-28,5,347.94,69.59,"Smartphone, Headphones, Printer"
2024-01-29,3,229.78,76.59,"Monitor, Laptop, Tablet"
2024-01-30,17,1568.55,92.27,"Tablet, Smartwatch, Camera"
2024-01-31,4,307.25,76.81,"Tablet, Laptop"
2024-02-01,3,252.04,84.01,"Smartphone, Laptop"
2024-02-02,11,885.05,80.46,"Laptop, Headphones"
2024-02-03,14,768.93,54.92,"Headphones, Camera, Smartwatch"
2024-02-04,17,928.22,54.6,"Camera, Laptop"
2024-02-05,8,422.39,52.8,"Camera, Tablet, Smartwatch"
2024-02-06,10,543.27,54.33,"Laptop, Monitor"
2024-02-07,1,61.86,61.86,"Smartwatch, Camera, Tablet"
2024-02-08,11,1011.73,91.98,"Smartphone, Monitor, Laptop"
2024-02-09,19,1446.25,76.12,"Printer, Tablet, Headphones"
2024-02-10,12,907.84,75.65,"Laptop, Headphones, Smartwatch"
2024-02-11,3,247.47,82.49,"Camera, Smartwatch"
2024-02-12,3,231.69,77.23,"Camera, Smartwatch"
2024-02-13,4,206.49,51.62,"Printer, Smartwatch, Laptop"
2024-02-14,4,316.03,79.01,"Laptop, Printer"
2024-02-15,19,1682.53,88.55,"Camera, Smartwatch"
2024-02-16,15,1032.17,68.81,"Tablet, Laptop, Printer"
2024-02-17,4,298.2,74.55,"Camera, Smartphone"
2024-02-18,18,1783.48,99.08,"Camera, Headphones"
2024-02-19,19,1182.42,62.23,"Laptop, Smartphone, Printer"
2024-02-20,15,1030.74,68.72,"Monitor, Laptop"
2024-02-21,10,522.83,52.28,"Monitor, Tablet, Headphones"
2024-02-22,2,131.01,65.5,"Camera, Smartphone"
2024-02-23,5,457.88,91.58,"Smartwatch, Camera"
2024-02-24,11,993.86,90.35,"Camera, Tablet"
2024-02-25,12,984.01,82,"Monitor, Camera, Laptop"
2024-02-26,9,615.65,68.41,"Headphones, Laptop"
2024-02-27,12,787.65,65.64,"Smartphone, Printer"
2024-02-28,3,270.28,90.09,"Headphones, Tablet"
2024-02-29,17,909.88,53.52,"Laptop, Smartphone, Printer"
2024-03-01,1,84.18,84.18,"Laptop, Printer, Camera"
2024-03-02,1,69.04,69.04,"Smartphone, Smartwatch, Headphones"
2024-03-03,7,571.88,81.7,"Headphones, Smartwatch, Monitor"
2024-03-04,15,1445.16,96.34,"Smartphone, Monitor, Laptop"
2024-03-05,11,1019.67,92.7,"Camera, Smartwatch, Printer"
2024-03-06,9,673.96,74.88,"Smartphone, Laptop, Monitor"
2024-03-07,14,999.48,71.39,"Monitor, Camera"
2024-03-08,3,273.38,91.13,"Headphones, Tablet, Smartwatch"
2024-03-09,4,347.65,86.91,"Monitor, Printer, Tablet"
2024-03-10,3,217.07,72.36,"Laptop, Printer"
2024-03-11,12,1181.34,98.45,"Monitor, Camera, Smartwatch"
2024-03-12,14,954.21,68.16,"Laptop, Camera, Printer"
2024-03-13,17,1187.9,69.88,"Smartphone, Laptop, Monitor"
2024-03-14,9,782.41,86.93,"Smartwatch, Monitor"
2024-03-15,9,652.09,72.45,"Laptop, Headphones, Camera"
2024-03-16,9,871.78,96.86,"Laptop, Smartwatch"
2024-03-17,3,188.59,62.86,"Camera, Printer, Tablet"
2024-03-18,4,276.35,69.09,"Tablet, Camera, Laptop"
2024-03-19,13,1103.14,84.86,"Smartwatch, Smartphone"
2024-03-20,15,1422.8,94.85,"Laptop, Headphones"
2024-03-21,1,56.05,56.05,"Headphones, Camera, Smartphone"
2024-03-22,5,310.39,62.08,"Smartphone, Laptop, Headphones"
2024-03-23,4,245.65,61.41,"Headphones, Tablet, Laptop"
2024-03-24,14,1042.66,74.48,"Tablet, Camera"
2024-03-25,12,1134.91,94.58,"Smartphone, Laptop"
2024-03-26,14,950.68,67.91,"Laptop, Headphones"
2024-03-27,14,969.67,69.26,"Laptop, Headphones"
2024-03-28,12,1150.04,95.84,"Tablet, Headphones, Laptop"
2024-03-29,17,946.74,55.69,"Printer, Headphones"
2024-03-30,15,1223.34,81.56,"Camera, Monitor, Printer"
2024-03-31,17,962.89,56.64,"Printer, Monitor, Laptop"
2024-04-01,2,137.42,68.71,"Laptop, Monitor"
2024-04-02,9,595.98,66.22,"Smartphone, Headphones"
2024-04-03,1,84.01,84.01,"Tablet, Laptop"
2024-04-04,5,448.88,89.78,"Monitor, Smartphone"
2024-04-05,7,526.38,75.2,"Tablet, Monitor, Headphones"
2024-04-06,14,907.37,64.81,"Headphones, Monitor, Printer"
2024-04-07,8,754.38,94.3,"Headphones, Tablet, Smartwatch"
2024-04-08,16,1081.5,67.59,"Smartwatch, Camera, Laptop"
2024-04-09,10,869.2,86.92,"Printer, Laptop, Tablet"
2024-04-10,19,1477.59,77.77,"Tablet, Camera"
2024-04-11,9,540.68,60.08,"Laptop, Tablet, Printer"
2024-04-12,16,1238.82,77.43,"Monitor, Camera, Printer"
2024-04-13,12,911.79,75.98,"Camera, Printer, Monitor"
2024-04-14,7,472.07,67.44,"Headphones, Monitor, Smartphone"
2024-04-15,16,819.7,51.23,"Smartwatch, Monitor, Printer"
2024-04-16,2,114.88,57.44,"Printer, Laptop, Smartphone"
2024-04-17,13,735.7,56.59,"Camera, Laptop"
2024-04-18,4,341.58,85.4,"Smartphone, Headphones"
2024-04-19,19,1623.62,85.45,"Printer, Headphones, Laptop"
2024-04-20,16,1289.4,80.59,"Printer, Smartwatch"
2024-04-21,4,334.38,83.6,"Smartphone, Monitor, Headphones"
2024-04-22,11,796.13,72.38,"Tablet, Monitor, Headphones"
2024-04-23,13,1102.45,84.8,"Smartphone, Monitor"
2024-04-24,7,482.41,68.92,"Tablet, Smartphone"
2024-04-25,4,220.01,55,"Monitor, Headphones, Smartwatch"
2024-04-26,6,588.08,98.01,"Camera, Laptop"
2024-04-27,12,643.46,53.62,"Printer, Tablet"
2024-04-28,1,50.97,50.97,"Smartwatch, Headphones"
2024-04-29,12,1187.74,98.98,"Monitor, Laptop, Camera"
2024-04-30,9,516.82,57.42,"Laptop, Tablet"
2024-05-01,11,692.29,62.94,"Monitor, Headphones"
2024-05-02,12,729.32,60.78,"Monitor, Smartwatch, Smartphone"
2024-05-03,6,473.97,79,"Printer, Headphones, Smartphone"
2024-05-04,16,1580.6,98.79,"Smartwatch, Smartphone"
2024-05-05,9,572.85,63.65,"Smartwatch, Monitor"
2024-05-06,3,295.51,98.5,"Smartwatch, Headphones, Laptop"
2024-05-07,15,769.12,51.27,"Laptop, Monitor, Smartphone"
2024-05-08,4,377.61,94.4,"Smartphone, Camera"
2024-05-09,4,341.72,85.43,"Monitor, Camera, Smartphone"
2024-05-10,8,511.11,63.89,"Printer, Tablet"
2024-05-11,10,947.43,94.74,"Camera, Laptop, Smartwatch"
2024-05-12,10,513.26,51.33,"Smartphone, Printer, Smartwatch"
2024-05-13,10,812.82,81.28,"Headphones, Printer"
2024-05-14,4,265.91,66.48,"Printer, Monitor"
2024-05-15,15,1475.34,98.36,"Printer, Camera, Headphones"
2024-05-16,19,1110.15,58.43,"Monitor, Printer"
2024-05-17,13,1235.96,95.07,"Smartwatch, Smartphone, Laptop"
2024-05-18,4,265.99,66.5,"Monitor, Tablet, Camera"
2024-05-19,10,944.62,94.46,"Monitor, Printer"
2024-05-20,11,831.85,75.62,"Headphones, Smartwatch"
2024-05-21,14,1057.44,75.53,"Smartwatch, Smartphone"
2024-05-22,8,554.73,69.34,"Camera, Smartphone"
2024-05-23,8,612.04,76.5,"Smartphone, Monitor, Camera"
2024-05-24,2,194.47,97.24,"Printer, Smartphone"
2024-05-25,13,1230.36,94.64,"Tablet, Printer"
2024-05-26,3,251.57,83.86,"Smartwatch, Monitor, Printer"
2024-05-27,3,245.85,81.95,"Smartphone, Tablet"
2024-05-28,2,154.84,77.42,"Laptop, Monitor"
2024-05-29,6,381.8,63.63,"Camera, Smartphone"
2024-05-30,9,516.72,57.41,"Smartwatch, Headphones, Camera"
2024-05-31,5,464.08,92.82,"Camera, Tablet, Laptop"
2024-06-01,1,81.75,81.75,"Smartphone, Tablet"
2024-06-02,12,779.79,64.98,"Camera, Tablet"
2024-06-03,3,219.03,73.01,"Printer, Monitor"
2024-06-04,6,307.36,51.23,"Camera, Smartphone"
2024-06-05,17,1324.36,77.9,"Smartwatch, Laptop"
2024-06-06,9,612.52,68.06,"Laptop, Tablet"
2024-06-07,2,150.27,75.14,"Camera, Smartphone, Laptop"
2024-06-08,18,1038.26,57.68,"Tablet, Camera"
2024-06-09,17,1211.68,71.28,"Smartwatch, Smartphone, Printer"
2024-06-10,4,381.23,95.31,"Monitor, Laptop, Headphones"
2024-06-11,9,453.83,50.43,"Headphones, Monitor"
2024-06-12,5,492.22,98.44,"Smartwatch, Smartphone"
2024-06-13,17,1437.26,84.54,"Smartwatch, Camera"
2024-06-14,4,219.88,54.97,"Camera, Smartphone"
2024-06-15,8,515.91,64.49,"Headphones, Printer"
2024-06-16,4,307.81,76.95,"Monitor, Headphones"
2024-06-17,19,1637.94,86.21,"Smartphone, Monitor"
2024-06-18,18,1249.98,69.44,"Laptop, Printer, Camera"
2024-06-19,2,122.71,61.35,"Camera, Monitor"
2024-06-20,19,1382.12,72.74,"Laptop, Camera"
2024-06-21,18,1774.87,98.6,"Camera, Monitor"
2024-06-22,3,275.07,91.69,"Smartwatch, Laptop, Camera"
2024-06-23,6,574.44,95.74,"Smartwatch, Tablet, Printer"
2024-06-24,6,500.19,83.36,"Laptop, Smartwatch, Camera"
2024-06-25,13,936.43,72.03,"Headphones, Printer"
2024-06-26,13,1095.31,84.25,"Tablet, Camera"
2024-06-27,3,247.29,82.43,"Smartphone, Laptop, Tablet"
2024-06-28,16,823.28,51.46,"Printer, Smartwatch"
2024-06-29,8,767.81,95.98,"Headphones, Smartwatch, Laptop"
2024-06-30,8,616.98,77.12,"Smartwatch, Tablet, Monitor"
2024-07-01,12,1194.68,99.56,"Headphones, Monitor, Smartphone"
2024-07-02,18,1244.79,69.16,"Headphones, Camera"
2024-07-03,7,632.33,90.33,"Laptop, Smartwatch, Camera"
2024-07-04,8,584.4,73.05,"Camera, Monitor, Tablet"
2024-07-05,19,1735.48,91.34,"Smartphone, Laptop, Tablet"
2024-07-06,12,923.47,76.96,"Laptop, Headphones"
2024-07-07,18,1698.54,94.36,"Tablet, Smartphone, Laptop"
2024-07-08,10,940.05,94.01,"Smartwatch, Tablet, Smartphone"
2024-07-09,15,996.23,66.42,"Headphones, Smartwatch"
2024-07-10,10,702.21,70.22,"Headphones, Camera"
2024-07-11,19,1467.41,77.23,"Smartwatch, Tablet"
2024-07-12,1,81.08,81.08,"Tablet, Headphones"
2024-07-13,10,689.68,68.97,"Headphones, Laptop, Smartwatch"
2024-07-14,12,925.28,77.11,"Monitor, Smartwatch"
2024-07-15,18,1008.83,56.05,"Smartwatch, Tablet, Laptop"
2024-07-16,10,840.35,84.03,"Laptop, Camera, Smartphone"
2024-07-17,1,64.36,64.36,"Smartwatch, Smartphone"
2024-07-18,17,886.53,52.15,"Smartphone, Headphones, Camera"
2024-07-19,11,613.85,55.8,"Tablet, Headphones, Printer"
2024-07-20,5,276.61,55.32,"Headphones, Smartwatch, Printer"
2024-07-21,4,263.3,65.82,"Smartwatch, Tablet"
2024-07-22,9,560.94,62.33,"Tablet, Monitor"
2024-07-23,15,1172.09,78.14,"Smartphone, Smartwatch, Camera"
2024-07-24,1,95.32,95.32,"Monitor, Smartphone, Tablet"
2024-07-25,9,711.05,79.01,"Tablet, Camera"
2024-07-26,8,639.17,79.9,"Laptop, Camera"
2024-07-27,14,866.63,61.9,"Smartphone, Camera, Monitor"
2024-07-28,18,1422.8,79.04,"Laptop, Smartphone"
2024-07-29,1,57.29,57.29,"Monitor, Laptop, Headphones"
2024-07-30,12,801.38,66.78,"Camera, Laptop, Smartwatch"
2024-07-31,5,406.38,81.28,"Monitor, Headphones, Laptop"
2024-08-01,1,68.07,68.07,"Tablet, Monitor, Printer"
2024-08-02,11,1051.05,95.55,"Printer, Monitor"
2024-08-03,15,1408.87,93.92,"Camera, Laptop"
2024-08-04,19,1362.45,71.71,"Printer, Tablet"
2024-08-05,5,379.4,75.88,"Tablet, Camera, Headphones"
2024-08-06,4,294.93,73.73,"Printer, Laptop, Headphones"
2024-08-07,8,473.75,59.22,"Tablet, Smartphone"
2024-08-08,9,645.64,71.74,"Monitor, Printer, Tablet"
2024-08-09,14,831.29,59.38,"Camera, Monitor"
2024-08-10,6,514.56,85.76,"Laptop, Printer, Monitor"
2024-08-11,1,76.15,76.15,"Laptop, Headphones"
2024-08-12,9,594.25,66.03,"Printer, Monitor, Tablet"
2024-08-13,16,802.48,50.15,"Smartphone, Headphones, Camera"
2024-08-14,16,1277.84,79.87,"Monitor, Tablet, Camera"
2024-08-15,12,989.45,82.45,"Printer, Tablet, Laptop"
2024-08-16,5,251.3,50.26,"Laptop, Headphones"
2024-08-17,8,788.09,98.51,"Tablet, Camera, Smartphone"
2024-08-18,14,1164.71,83.19,"Headphones, Tablet"
2024-08-19,11,711.23,64.66,"Monitor, Smartphone, Printer"
2024-08-20,15,900.27,60.02,"Smartphone, Smartwatch, Monitor"
2024-08-21,18,1733.13,96.29,"Monitor, Printer"
2024-08-22,4,261.85,65.46,"Camera, Smartwatch, Monitor"
2024-08-23,10,701.61,70.16,"Camera, Laptop, Printer"
2024-08-24,19,1551.41,81.65,"Smartwatch, Smartphone, Camera"
2024-08-25,3,283.6,94.53,"Smartphone, Smartwatch"
2024-08-26,12,859.56,71.63,"Monitor, Camera"
2024-08-27,19,1831.81,96.41,"Laptop, Tablet, Smartphone"
2024-08-28,14,1114.46,79.6,"Camera, Monitor, Tablet"
2024-08-29,2,143.18,71.59,"Headphones, Printer, Tablet"
2024-08-30,7,557.47,79.64,"Headphones, Tablet"
2024-08-31,11,744.98,67.73,"Smartwatch, Printer, Headphones"
2024-09-01,17,1408.47,82.85,"Monitor, Headphones"
2024-09-02,17,1404.46,82.62,"Smartwatch, Camera, Smartphone"
2024-09-03,4,364.34,91.09,"Monitor, Smartwatch, Printer"
2024-09-04,18,1262.49,70.14,"Laptop, Headphones, Smartphone"
2024-09-05,11,570.66,51.88,"Smartwatch, Laptop"
2024-09-06,10,992.32,99.23,"Headphones, Laptop, Printer"
2024-09-07,13,941.29,72.41,"Tablet, Smartwatch, Printer"
2024-09-08,14,1356.34,96.88,"Tablet, Printer, Smartphone"
2024-09-09,7,585.21,83.6,"Monitor, Printer"
2024-09-10,7,443.34,63.33,"Printer, Headphones, Smartwatch"
2024-09-11,8,625.63,78.2,"Smartwatch, Printer"
2024-09-12,9,880.62,97.85,"Smartwatch, Printer, Headphones"
2024-09-13,14,779.44,55.67,"Laptop, Smartwatch, Smartphone"
2024-09-14,8,508.89,63.61,"Laptop, Headphones, Camera"
2024-09-15,17,919.75,54.1,"Tablet, Laptop"
2024-09-16,16,1412.22,88.26,"Printer, Camera"
2024-09-17,9,459.76,51.08,"Printer, Headphones, Smartwatch"
2024-09-18,4,227.45,56.86,"Printer, Headphones, Smartphone"
2024-09-19,7,441.22,63.03,"Camera, Smartphone, Laptop"
2024-09-20,18,1683.97,93.55,"Printer, Tablet"
2024-09-21,8,471.76,58.97,"Monitor, Smartphone"
2024-09-22,3,214.99,71.66,"Camera, Laptop"
2024-09-23,17,1126.35,66.26,"Laptop, Printer"
2024-09-24,19,1504.23,79.17,"Laptop, Smartphone"
2024-09-25,14,1355.53,96.82,"Printer, Smartwatch, Monitor"
2024-09-26,5,485.2,97.04,"Tablet, Smartwatch, Smartphone"
2024-09-27,5,263.13,52.63,"Smartphone, Headphones"
2024-09-28,13,1037.54,79.81,"Printer, Headphones, Monitor"
2024-09-29,18,1702.62,94.59,"Headphones, Monitor"
2024-09-30,2,178.09,89.05,"Smartphone, Smartwatch"
2024-10-01,6,363.46,60.58,"Headphones, Tablet"
2024-10-02,2,176.5,88.25,"Monitor, Tablet, Printer"
2024-10-03,8,475.63,59.45,"Printer, Camera"
2024-10-04,10,949.38,94.94,"Smartphone, Smartwatch, Tablet"
2024-10-05,18,908.04,50.45,"Smartphone, Tablet, Headphones"
2024-10-06,10,545.12,54.51,"Monitor, Smartphone"
2024-10-07,1,80.96,80.96,"Camera, Tablet, Smartphone"
2024-10-08,5,345.61,69.12,"Smartphone, Headphones"
2024-10-09,18,986.91,54.83,"Camera, Laptop"
2024-10-10,17,1687.19,99.25,"Printer, Smartwatch, Monitor"
2024-10-11,4,379.32,94.83,"Printer, Camera"
2024-10-12,11,699.11,63.56,"Laptop, Camera, Printer"
2024-10-13,2,147.32,73.66,"Tablet, Smartphone"
2024-10-14,5,369.94,73.99,"Camera, Smartwatch, Monitor"
2024-10-15,5,377.1,75.42,"Camera, Smartwatch"
2024-10-16,17,1672.17,98.36,"Smartphone, Smartwatch, Laptop"
2024-10-17,17,934.96,55,"Laptop, Smartphone"
2024-10-18,16,831.72,51.98,"Smartphone, Smartwatch, Camera"
2024-10-19,11,816.04,74.19,"Smartwatch, Printer"
2024-10-20,14,1020.78,72.91,"Camera, Monitor"
2024-10-21,9,555.87,61.76,"Tablet, Smartphone, Monitor"
2024-10-22,12,635.32,52.94,"Tablet, Monitor, Smartwatch"
2024-10-23,7,393.35,56.19,"Smartphone, Monitor, Camera"
2024-10-24,10,928.38,92.84,"Laptop, Tablet"
2024-10-25,16,1119.73,69.98,"Tablet, Smartwatch, Laptop"
2024-10-26,4,276.28,69.07,"Headphones, Laptop"
2024-10-27,13,664.28,51.1,"Tablet, Camera"
2024-10-28,19,1306.02,68.74,"Tablet, Headphones, Smartwatch"
2024-10-29,18,1495.45,83.08,"Monitor, Laptop"
2024-10-30,11,893.95,81.27,"Tablet, Smartphone, Laptop"
2024-10-31,3,287.1,95.7,"Headphones, Tablet"
